complex,prediction,n,entrez
Mss4-Itga7 complex,CYTOSOL,2,16404; 98710
MST1-SAV1 complex,UNKNOWN,2,58231; 64010
MST2-SAV1 complex,UNKNOWN,2,56274; 64010
MTA1 complex,NUCLEUS,6,17192; 19646; 116870; 245688; 433759; 15182
MTA1-HDAC core complex,NUCLEUS,5,19646; 116870; 245688; 433759; 15182
MTA2 complex,NUCLEUS,8,23942; 17192; 19646; 433759; 107932; 245688; 15182; 20466
"mTOR complex (MTOR, RAPTOR)",ENDOSOME,2,56717; 74370
"mTOR complex (MTOR, RICTOR, MLST8)",LARGE PROTEIN COMPLEX,3,56717; 78757; 56716
Mtor-Yy1-Ppargc1a complex,NUCLEUS,3,19017; 22632; 56717
mTORC1 complex,ENDOSOME,3,56717; 74370; 56716
mTORC2 complex,LARGE PROTEIN COMPLEX,4,56717; 78757; 227743; 56716
MTR4-RBM7-ZCCHC8 complex,LARGE PROTEIN COMPLEX,3,72198; 70650; 67010
"Multicomponent signaling complex, anti-CD40 stimulated (Birc2, Birc3, Cd40, Ikbkg, Map2k4, Map2k7, Map3k1, Traf2, Ube2n)",CYTOSOL,9,11796; 16151; 21939; 22030; 26398; 26401; 93765; 11797; 26400
"Multicomponent signaling complex, anti-CD40 stimulated,(Birc2, Birc3, Cd40, Ikbkg, Map3k1, Traf2, Ube2n)",CYTOSOL,7,11796; 16151; 21939; 22030; 26401; 93765; 11797
Multiprotein complex (mRNA turnover),LARGE PROTEIN COMPLEX,5,56403; 229663; 18458; 11991; 218693
Multiprotein trafficking complex,PLASMA MEMBRANE,5,319924; 16515; 13383; 12361; 22343
Multisubunit ACTR coactivator complex,NUCLEUS,4,328572; 12914; 18519; 17979
Munc13-1-Rim2-Rab3a complex,CYTOSOL|LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|SECRETORY,3,19339; 382018; 116838
Mupp1-Dlg4-Syngap1-CamkII complex,CYTOSOL,5,17475; 12323; 12322; 13385; 240057
MURR1-NF(kappa)Bp65-IKBA complex,CYTOSOL,3,18035; 19697; 17846
MUS81-CDS1 complex,NUCLEUS|SECRETORY,2,74596; 71711
MutL-alpha complex,NUCLEUS,2,17350; 18861
MutL-beta complex,NUCLEUS,2,17350; 227099
MutS-alpha-PK-zeta complex,LARGE PROTEIN COMPLEX|NUCLEUS,3,17685; 17688; 18762
MYC-MAX complex,NUCLEUS,2,17869; 17187
MYC-MAX-KAT2A-TRRAP complex,NUCLEUS,4,17869; 17187; 14534; 100683
MYC-TRRAP-KAT2A complex,NUCLEUS,3,17869; 14534; 100683
MYO7A-PDZD7 complex,CYTOSOL,2,17921; 100503041
Myocd-Srf complex,NUCLEUS,2,20807; 214384
Myod1 homodimer complex,UNCLASSIFIED,1,17927
Myod1-Tcf3 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,17927; 21423
N-NOS-CHIP-HSP70-1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,193740; 18125; 56424
NAT complex,NUCLEUS,7,26896; 69792; 51813; 264064; 108098; 28077; 70208
NBS1-VRK1 complex,NUCLEUS,2,27354; 22367
NBS1\u2013RNF8-VRK1 complex,NUCLEUS,3,27354; 58230; 22367
Ncam-Fgfr4 signaling complex,PLASMA MEMBRANE,8,20779; 14432; 17967; 12558; 14186; 13043; 18803; 327826
NCAM140-p59(fyn)-p125(fak) signaling complex,PLASMA MEMBRANE,3,14083; 17967; 14360
NCBP-NIP1 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,433702; 56846
NCKAP1-WASF3 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,245880; 50884
NCKAP1-WASF3-RAC1 complex,UNKNOWN,3,19353; 245880; 50884
NCOR complex,LARGE PROTEIN COMPLEX,6,15183; 21372; 20185; 56310; 107684; 81004
NCOR-HDAC3 complex,LARGE PROTEIN COMPLEX,5,15183; 21372; 20185; 56310; 81004
NCOR-SIN3-HDAC-HESX1 complex,NUCLEUS,6,20467; 433759; 15182; 20466; 15209; 20602
NCOR-SIN3-HDAC1 complex,NUCLEUS,3,433759; 20466; 20602
NCOR-SIN3-RPD3 complex,NUCLEUS,4,20467; 15182; 20466; 20602
NCOR1 complex,NUCLEUS,10,15183; 20185; 20586; 20587; 21849; 101943; 67465; 100043597; 68094; 20588
NCOR2 complex,NUCLEUS,7,15183; 20185; 60406; 433759; 15182; 20466; 20602
NDC80 kinetochore complex,CYTOSOL|LARGE PROTEIN COMPLEX,4,67052; 67629; 66977; 66442
NDFIP1-NEDD4L-SLC11A2 complex,ENDOSOME,3,18174; 83814; 65113
NDPKA-AMPKalpha1 complex,CYTOSOL|UNKNOWN,2,18102; 105787
"Neddylin ligase (FBXO11, SKP1, CUL1, RBX1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 225055
NEK2A-SAV1-STK3 complex,UNKNOWN,3,18005; 56274; 64010
Nek8-Pkd2 complex,CYTOSOL|ENDOPLASMIC RETICULUM|PEROXISOME|SECRETORY,2,18764; 140859
NEK8-WWTR1 complex,CYTOSOL,2,140859; 97064
NELF complex (Negative elongation factor complex),LARGE PROTEIN COMPLEX|NUCLEUS,4,27632; 57314; 58202; 24116
Nemo homotrimer complex,CYTOSOL|UNKNOWN,1,16151
NEMO-HIF2(alpha)-ARNT complex,UNKNOWN,3,11863; 13819; 16151
Nephrin multiprotein complex,ACTIN BINDING PROTEINS,7,29875; 50791; 20740; 12361; 54631; 20742; 109711
"Nephrin-cadherin complex (Nphs1, Cask, Cd2ap)",LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,3,12361; 12488; 54631
Neurotrophin-3-p75 complex,UNCLASSIFIED,2,18053; 18205
NF2-WWC1 complex,PLASMA MEMBRANE,2,18016; 211652
NFAT-JUN-FOS DNA-protein complex,CYTOSOL|UNKNOWN,3,14281; 16476; 18019
NFAT5-WWTR1 complex,UNKNOWN,2,54446; 97064
Nfatc2ip-Prmt1 complex,LARGE PROTEIN COMPLEX,3,18020; 18019; 15469
NFKB1-STAT3 complex,CYTOSOL|UNKNOWN,2,18033; 20848
NG2-galectin-3-alpha3beta1-integrin complex,PLASMA MEMBRANE,4,16412; 16854; 16400; 121021
Ng2-Grip1-Glur2 complex,PLASMA MEMBRANE,3,14800; 121021; 74053
NGF-p75 complex,UNCLASSIFIED,2,18049; 18053
NGF-TrkA complex,UNCLASSIFIED,2,18049; 18211
Ngly1-Vcp-Ubxn1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,269523; 225896; 59007
"NHE3-NHERF2-ACTN4, Ca(2+) induced",ACTIN BINDING PROTEINS|UNKNOWN,3,60595; 105243; 65962
Nherf1-Fzd4-Vangl2 complex,PLASMA MEMBRANE,3,26941; 14366; 93840
NHERF1-NPT2A-EZR complex,PLASMA MEMBRANE,3,26941; 22350; 20505
NHERF1-PRKCZ complex,CYTOSOL|PLASMA MEMBRANE,2,26941; 18762
NIAP homotetramer complex,UNCLASSIFIED,1,17948
NIF-1-DBC1-EMSY complex,NUCLEUS,3,233545; 219158; 329559
NIF1-ASH2L-RBBP5-WDR5 complex,NUCLEUS,4,140858; 213464; 329559; 23808
NINJ1 homo-oligomer complex,UNCLASSIFIED,1,18081
"Nitric oxide synthase-dystrophin complex, skeletal muscle",PLASMA MEMBRANE,2,13405; 18125
NK-3-Groucho complex,NUCLEUS|UNKNOWN,2,21885; 18095
NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex,NUCLEUS,6,21885; 19646; 433759; 20466; 18095; 15258
nKHC-KLC1-KLC2 kinesin complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,16593; 16594; 16572
nKHC-KLC1-uKHC kinesin complex,CYTOSOL,3,16593; 16572; 16573
Nkx3.2-SMAD1 complex,CYTOSOL|UNKNOWN,2,17125; 12020
Nkx3.2-SMAD1-SMAD4 complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,17125; 17128; 12020
Nkx3.2-SMAD1-SMAD4-HDAC-Sin3A complex,NUCLEUS,7,433759; 17125; 17128; 12020; 20466; 19646; 245688
Nkx3.2-SMAD1-SMAD4-HDAC1 complex,NUCLEUS,4,433759; 17125; 17128; 12020
NLGN1-NRXN1 complex,PLASMA MEMBRANE|SECRETORY,2,192167; 18189
NMDA receptor complex,UNCLASSIFIED,3,14810; 14811; 242443
"NMDA receptor complex (NR2A, NR2B, NR1, PSD-95)",CYTOSOL|PLASMA MEMBRANE,4,13385; 14810; 14811; 14812
NMNAT2-HSP90 complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,15519; 226518
nNos-Capon-Dexras1 complex,ENDOSOME|PLASMA MEMBRANE,3,19416; 70729; 18125
nNos-Capon-Syn1 complex,UNKNOWN,3,70729; 20964; 18125
Nogo-potassium channel complex,SECRETORY|UNKNOWN,4,16490; 53321; 16485; 68585
Norrin receptor complex,SECRETORY,4,16973; 269831; 17986; 14366
Nos1-Xdh complex,CYTOSOL|PLASMA MEMBRANE,2,22436; 18125
NOS3-CAV1 complex,SECRETORY,2,18127; 12389
NOS3-CAV1-NOSTRIN complex,SECRETORY,3,18127; 12389; 329416
"NOS3-HSP90 complex, VEGF induced",CYTOSOL|LARGE PROTEIN COMPLEX,2,15519; 18127
"NOS3-HSP90-AKT complex, VEGF induced",CYTOSOL,3,15519; 18127; 11651
Notch1-p56lck-PI3K complex,PLASMA MEMBRANE|SECRETORY,3,16818; 18708; 18128
Notch1(N-TM)-Notch1(N-EC) heterodimer complex,PLASMA MEMBRANE,1,18128
Notch2(N-TM)-Notch2(N-EC)-Delta complex,PLASMA MEMBRANE|SECRETORY,2,13388; 18129
NPHP1-NPHP4-BCAR1 complex,CYTOSOL,3,53885; 260305; 12927
Nphp1-Nphp4-Rpgrip1l complex,CYTOSOL,3,260305; 244585; 53885
NPHP1-PKD1 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,53885; 18763
Nphp1-Ptk2b-Bcar1-tensin complex,CYTOSOL,4,12927; 209039; 19229; 53885
Nptxr-Nptx1 complex,ENDOPLASMIC RETICULUM|NUCLEUS|SECRETORY|UNKNOWN,2,73340; 18164
Nptxr-NPTX2 complex,UNKNOWN,2,73340; 53324
NR3C2-UBC9-SRC-1 complex,LARGE PROTEIN COMPLEX,3,110784; 22196; 17977
NRD complex (Nucleosome remodeling and deacetylation complex),NUCLEUS,7,99982; 19646; 216848; 116870; 433759; 107932; 15182
Nrp1-PlexinD1 complex,PLASMA MEMBRANE,2,18186; 67784
"NRP1-VEGFC complex, heparin dependent",PLASMA MEMBRANE,2,18186; 22341
"NRP1-VEGFD complex, heparin dependent",PLASMA MEMBRANE,2,18186; 14205
NRP2-VEGFC complex,PLASMA MEMBRANE|SECRETORY,2,18187; 22341
"NRP2-VEGFD complex, heparin dependent",PLASMA MEMBRANE|SECRETORY,2,14205; 18187
NRP2-VEGFR3 complex,PLASMA MEMBRANE|SECRETORY,2,18187; 14257
Nsf-Stx1a-Napa complex,ENDOSOME|UNKNOWN,3,20907; 108124; 18195
Nsf-Stx1a-NAPB complex,ENDOSOME,3,20907; 17957; 18195
Nsf-Stx1a-NAPG complex,ENDOSOME,3,20907; 108123; 18195
NSL complex,NUCLEUS,9,108155; 15161; 140858; 76719; 51812; 228829; 67773; 69612; 226976
NuA4/Tip60 HAT complex,NUCLEUS,14,56456; 81601; 75560; 78656; 13831; 66233; 71777; 21761; 56505; 100683; 64050; 227867; 70088; 20174
NuA4/Tip60-HAT complex,NUCLEUS,16,64050; 56456; 56397; 81601; 75560; 78656; 13831; 70088; 66233; 73247; 71777; 21761; 20174; 56505; 100683; 21427
NuA4/Tip60-HAT complex A,NUCLEUS,15,64050; 56456; 227867; 81601; 75560; 78656; 13831; 70088; 66233; 73247; 71777; 21761; 20174; 56505; 100683
NuA4/Tip60-HAT complex B,NUCLEUS,8,56456; 81601; 13831; 66233; 21761; 20174; 56505; 100683
Nucleic acid channel complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS,2,17449; 71844
Nucleolar remodeling complex (NoRC complex),NUCLEUS,2,116848; 93762
NUFIP2-Roquin1 complex,LARGE PROTEIN COMPLEX,2,381305; 68564
NuMA-LGN-G-alpha-i-1 complex,NUCLEUS|PLASMA MEMBRANE,3,14677; 76123; 101706
NUMAC complex (nucleosomal methylation activator complex),NUCLEUS,10,93760; 20586; 11461; 20587; 59035; 68094; 20588; 57376; 83797; 78891
NUMB-TP53-MDM2 complex,NUCLEUS|PLASMA MEMBRANE,3,22059; 18222; 17246
Nup 107-160 subcomplex,NUCLEUS,9,269966; 110379; 103468; 59015; 69912; 69736; 234865; 72124; 445007
NuRD.1 complex,NUCLEUS,8,17192; 19646; 116870; 107932; 245688; 433759; 15182; 116871
OAP-1-OSP/claudin-11-ITGB1 complex,PLASMA MEMBRANE|SECRETORY,3,16412; 18417; 56434
Ocrl-Cdc42 complex,CYTOSOL|ENDOSOME|LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,2,12540; 320634
OCT1-OBF1-DNA complex,NUCLEUS,2,18986; 18985
OCT1-OBF1-DNA-TLE1 complex,NUCLEUS,3,18986; 21885; 18985
OCT1-SOX2 DNA-protein complex,NUCLEUS,2,18986; 20674
OCT2-TLE4 complex,NUCLEUS,2,18987; 21888
OCT4-SOX2 DNA-protein complex,UNCLASSIFIED,2,20674; 18999
ODC-OAZ1-CCND1 complex,CYTOSOL,3,18263; 12443; 18245
OGT-HIRA complex,NUCLEUS,4,108155; 15260; 170644; 104248
OGT-TRAK1-TRAK2 complex,LARGE PROTEIN COMPLEX,3,108155; 70827; 67095
Oligosaccharyltransferase complex (Stt3A variant),ENDOPLASMIC RETICULUM,6,103963; 20014; 13200; 16430; 13135; 67075
Oligosaccharyltransferase complex (Stt3B variant),ENDOPLASMIC RETICULUM,7,103963; 20014; 13200; 13135; 80286; 68292; 67075
ORC complex (origin recognition complex),NUCLEUS,6,26429; 26428; 18392; 18393; 50793; 56452
ORMDL3-SPTLC1 complex,ENDOPLASMIC RETICULUM,2,268656; 66612
P-TEFb-7SKRNA-HEXIM1 complex,NUCLEUS,3,12455; 192231; 107951
P-TEFb-SKP2 complex,NUCLEUS,3,12455; 107951; 27401
P-TEFb.1 complex,NUCLEUS,2,12455; 107951
P-TEFb.2 complex,NUCLEUS,2,72949; 107951
P-TEFb.4 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,12454; 107951
p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex,UNKNOWN,4,13982; 20779; 18708; 12927
p14-Mp1-Erk1/2 complex,LARGE PROTEIN COMPLEX|LYSOSOME|UNKNOWN,4,56692; 26413; 26417; 83409
p14-Mp1-ERK2 complex,LYSOSOME,3,26413; 56692; 83409
p14-Mp1-MEK1 complex,LYSOSOME,3,26395; 56692; 83409
p18-Cdk4 complex,CYTOSOL|UNKNOWN,2,12567; 12580
p18-Cdk6 complex,CYTOSOL,2,12580; 12571
p19-Cdk4 complex,CYTOSOL,2,12567; 12581
p19-Cdk4-cyclinD2 complex,CYTOSOL|UNKNOWN,3,12444; 12567; 12581
p19-Cdk6 complex,CYTOSOL,2,12581; 12571
"p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated",PLASMA MEMBRANE,4,14360; 22612; 17096; 218397
p23 protein complex,LARGE PROTEIN COMPLEX,3,53379; 100043508; 18570
"p27-cyclinE-Cdk2 - Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1) complex",LARGE PROTEIN COMPLEX,8,12447; 12566; 12576; 54124; 100043674; 21402; 27401; 26965
p27-cyclinE-CDK2 complex,LARGE PROTEIN COMPLEX,3,12447; 12566; 12576
P2X7 receptor signalling complex,LARGE PROTEIN COMPLEX|UNKNOWN,12,60595; 225115; 16414; 15516; 193740; 15481; 19263; 224020; 11461; 13384; 16774; 18439
p300-CBP-p270 complex,NUCLEUS,3,93760; 328572; 12914
p300-CBP-p270-SWI/SNF complex,NUCLEUS,7,93760; 20586; 328572; 20587; 68094; 12914; 20588
p300-MDM2-p53 protein complex,NUCLEUS,3,22059; 17246; 328572
p300-SMAD1-STAT3 complex,NUCLEUS,3,20848; 328572; 17125
P300\u2013Clock\u2013Bmal1 complex,NUCLEUS,3,328572; 12753; 11865
p32-CBF-DNA complex,MITOCHONDRIA,4,18044; 18045; 12261; 18046
p33ING1b-HDAC1 complex,NUCLEUS,2,433759; 26356
p33ING1b-p300 complex,NUCLEUS,2,328572; 26356
p33ING1b-PCNA complex,NUCLEUS,2,68026; 26356
p34(SEI-1)-CDK4-CyclinD2 complex,UNKNOWN,3,12567; 12444; 55942
p400-associated complex,NUCLEUS,6,56456; 11461; 75560; 20174; 56505; 100683
p47-Vcp complex,LARGE PROTEIN COMPLEX,2,386649; 269523
p50-p65 Nf(kappa)B complex,CYTOSOL|UNKNOWN,2,18033; 19697
p50-p65 NF(kappa)B complex,CYTOSOL|UNKNOWN,2,18033; 19697
p50-p65 NF(kappa)B-SRC1 complex,CYTOSOL|UNKNOWN,3,18033; 19697; 17977
p53 homotetramer complex,NUCLEUS,1,22059
P53-BARD1-KU70 complex,NUCLEUS,3,22059; 14375; 12021
p53-BCL2 complex,NUCLEUS|UNKNOWN,3,22059; 12043; 12048
p53-MDM2 complex,NUCLEUS,2,22059; 17246
p53-SP1 complex,NUCLEUS,2,22059; 20683
p532-Clathrin-HSP70 complex,LARGE PROTEIN COMPLEX,3,193740; 67300; 235439
p54(nrb)-PSF-matrin3 complex,LARGE PROTEIN COMPLEX,3,71514; 17184; 53610
p56(LCK)-CAML complex,ENDOPLASMIC RETICULUM,2,16818; 12328
p65-p65 Nf(kappa)B complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,1,19697
p85alpha-SHP2-Gab2 complex,CYTOSOL,3,19247; 18708; 14389
p97-Ufd1-Npl4 complex,LARGE PROTEIN COMPLEX,3,269523; 22230; 217365
p97-Ufd1-Npl4-IP3 receptor complex,LARGE PROTEIN COMPLEX,4,16438; 269523; 22230; 217365
PA28 complex,LARGE PROTEIN COMPLEX,2,19186; 19188
PA28-20S proteasome,LARGE PROTEIN COMPLEX,16,26444; 19170; 26440; 19166; 19167; 26441; 26442; 19172; 19175; 19173; 26446; 26445; 26443; 19186; 19177; 19188
PA28gamma complex,LARGE PROTEIN COMPLEX,1,19192
PA28gamma-20S proteasome,LARGE PROTEIN COMPLEX,15,26444; 19170; 26440; 19166; 19167; 26441; 26442; 19172; 19175; 19173; 26446; 26445; 26443; 19192; 19177
PA700 complex,LARGE PROTEIN COMPLEX,20,69077; 66997; 67151; 59029; 22123; 53380; 19182; 19181; 23996; 57296; 17463; 19185; 19179; 19184; 67089; 21762; 66413; 66998; 70247; 23997
PA700-20S-PA28 complex,LARGE PROTEIN COMPLEX,36,69077; 66997; 67151; 59029; 26444; 22123; 53380; 19182; 19170; 26440; 19166; 19167; 26441; 26442; 19172; 19175; 19173; 19181; 23996; 57296; 26446; 26445; 17463; 19185; 26443; 19179; 19184; 67089; 19186; 21762; 66413; 66998; 19177; 70247; 19188; 23997
PAC1-PAC2 complex,CYTOSOL|UNKNOWN,2,56088; 107047
PAC3-PAC4 complex,CYTOSOL,2,69666; 66506
Paf complex,NUCLEUS,5,214498; 22083; 54624; 235497; 66317
PAFAH1B1-PAFAH1B2-PAFAH1B3 complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,18472; 18475; 18476
pallidin-Cappuccino-BLOS1 complex,CYTOSOL|ENDOSOME|UNKNOWN,3,14533; 117197; 18457
Pallidin-Mu complex,CYTOSOL,2,17828; 18457
PAQR3-SCAP-SREBF2 complex,ENDOPLASMIC RETICULUM,3,235623; 20788; 231474
PAR-3-aPKC-Tiam2 complex,LARGE PROTEIN COMPLEX,3,24001; 18759; 93742
Par-3-KIF3A-PKC-zeta complex,CYTOSOL,3,18762; 16568; 93742
Par-3-p75NTR complex,ACTIN BINDING PROTEINS|LARGE PROTEIN COMPLEX,2,93742; 18053
PAR-3-PKCz-Tiam2 complex,LARGE PROTEIN COMPLEX,3,24001; 18762; 93742
"PAR-6-PAR-3-VE-cadherin complex, endothelial",ACTIN BINDING PROTEINS|LARGE PROTEIN COMPLEX|SECRETORY,3,12562; 93742; 56513
"PAR-6-VE-cadherin complex, endothelial",SECRETORY,2,12562; 56513
Par3-Apc-Kif3a complex,LARGE PROTEIN COMPLEX,3,11789; 16568; 93742
PAR3-PAR6-PALS1 complex,ACTIN BINDING PROTEINS,3,56217; 93742; 56513
PAR4-BACE1 complex,ACTIN BINDING PROTEINS|CYTOSOL|SECRETORY|UNKNOWN,2,23821; 114774
PARD3B-PARD6A-PRKCI complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,18759; 72823; 56513
PARP1-LIG3 complex,NUCLEUS,2,11545; 16882
PARVB-ARHGEF6 complex,CYTOSOL,2,73341; 170736
PAS (PIKfyve-ArPIKfyve-Sac3) complex,UNKNOWN,3,234729; 103199; 18711
PAX6-SOX2 DNA-protein complex,NUCLEUS,2,18508; 20674
PAX9-MSX1 complex,UNCLASSIFIED,2,17701; 18511
PBAF complex (Polybromo- and BAF containing complex),NUCLEUS,10,56456; 20586; 11461; 20587; 77044; 66923; 68094; 20588; 57376; 83797
PC2 complex,NUCLEUS,12,66213; 26896; 23989; 69792; 108098; 68975; 28077; 56771; 234959; 230753; 216154; 67279
PCAF complex,NUCLEUS,10,217031; 109115; 101206; 102162; 24075; 66464; 108143; 18519; 100683; 225895
Pcdha7-Pcdhga1 complex,UNCLASSIFIED,2,93709; 12939
Pcdha7-Pcdhga3 complex,SECRETORY,2,93711; 12939
Pcdha7-Pcdhgb2 complex,SECRETORY,2,93700; 12939
Pcdha7-Pcdhgb4 complex,SECRETORY,2,93701; 12939
PCI-PSA-SCG2 complex,UNKNOWN,3,268591; 16624; 20254
PCNA homotrimer complex,LARGE PROTEIN COMPLEX,1,18538
PCNA-CHL12-RFC2-5 complex,LARGE PROTEIN COMPLEX,6,18538; 106344; 19718; 72151; 69263; 214901
PCNA-DNA ligase complex,LARGE PROTEIN COMPLEX,4,18972; 18538; 16881; 67967
PCNA-DNA polymerase delta complex,LARGE PROTEIN COMPLEX,5,18538; 18971; 18972; 67967; 69745
PCNA-KU antigen complex,LARGE PROTEIN COMPLEX,3,18538; 14375; 22596
PCNA-MLH1-PMS1 complex,NUCLEUS,3,18538; 17350; 227099
PCNA-MSH2-MSH6 complex,LARGE PROTEIN COMPLEX,3,18538; 17685; 17688
PCNA-MutS-alpha-MutL-alpha-DNA complex,LARGE PROTEIN COMPLEX|NUCLEUS,5,18538; 17350; 17685; 17688; 18861
PCNA-p21 complex,LARGE PROTEIN COMPLEX,2,18538; 12575
PCNA-PAF complex,LARGE PROTEIN COMPLEX,2,18538; 68026
PDGFB-PDGFRB complex,PLASMA MEMBRANE|SECRETORY,2,18591; 18596
"PDGFRA-SHP-2 complex, PDGF stimulated",LARGE PROTEIN COMPLEX,2,18595; 19247
Pdlim1-Alpha-actinin-1 complex,ACTIN BINDING PROTEINS,2,54132; 109711
PDZD11-nectin1 complex,NUCLEUS|UNKNOWN,2,58235; 72621
PDZD11-nectin3 complex,NUCLEUS|PLASMA MEMBRANE,2,72621; 58998
PDZK1-NaPiIIa-MAP17 complex,CYTOSOL|SECRETORY,3,20505; 67182; 59020
PDZK1-NHERF1-EZR complex,PLASMA MEMBRANE,3,26941; 22350; 59020
PDZK1-PLCB3- SSTR1 complex,CYTOSOL,3,20605; 18797; 59020
PDZK1-PLCB3- SSTR2 complex,CYTOSOL,3,20606; 18797; 59020
PDZK1-PLCB3- SSTR3 complex,CYTOSOL,3,20607; 18797; 59020
PDZK1-PLCB3- SSTR4 complex,CYTOSOL,3,20608; 18797; 59020
PDZK1-PLCB3-SSTR5 complex,CYTOSOL,3,20609; 18797; 59020
PeBoW complex,NUCLEUS,3,64934; 12181; 57750
PEF1-ALG2 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,18570; 67898
"PELI1-IRAK4-IRAK1-TRAF6 complex, IL-1-induced",CYTOSOL,4,16179; 67245; 266632; 22034
Pentraxin complex,ENDOPLASMIC RETICULUM|UNKNOWN,4,73340; 18164; 53324; 26611
Per1-Cry1-Cry2-Nono-Wdr5 complex,NUCLEUS,5,12952; 140858; 53610; 18626; 12953
Per1-Nono-Wdr5 complex,LARGE PROTEIN COMPLEX|NUCLEUS,3,140858; 53610; 18626
Per2-Nono-Wdr5 complex,NUCLEUS,3,140858; 53610; 18627
pERK-vimentin-KPNA2 complex,LARGE PROTEIN COMPLEX,3,22352; 26417; 16647
PET (PIWI-EXD1-Tdrd12) complex,UNCLASSIFIED,3,241624; 57746; 71981
Pex26-Pex6-Pex1 complex,PEROXISOME|UNKNOWN,3,71382; 224824; 74043
PFKL-PFKM-PFKP complex,LARGE PROTEIN COMPLEX,3,18641; 56421; 18642
PGAM5-KEAP1-NRF2 complex,MITOCHONDRIA,3,50868; 18024; 72542
Pggt1b-Fnta complex,CYTOSOL,2,225467; 14272
PHAX-CBC complex (cap binding complex),LARGE PROTEIN COMPLEX,3,68092; 433702; 56698
PHB-ANX2-CD36 complex,MITOCHONDRIA,3,12306; 18673; 12491
"Phosphatidylinositol 3-kinase (PIK3CA, PIK3R1)",CYTOSOL,2,18708; 18706
"Phosphatidylinositol 3-kinase (PIK3CA, PIK3R2)",CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,18709; 18706
"Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)",ENDOSOME,2,225326; 75669
Phosphatidylinositol 4-kinase complex,UNKNOWN,4,224020; 104718; 14853; 84652
PI4K2A-PLDN complex,ENDOSOME,2,84095; 18457
PI4K2A-PRDX1 complex,ENDOSOME|LARGE PROTEIN COMPLEX|UNKNOWN,2,18477; 84095
PIAS1-SUMO1-UBC9 complex,NUCLEUS,3,56469; 22218; 22196
PIAS3-SMAD3-P300 complex,NUCLEUS,3,17127; 328572; 229615
Pick1-Glur2 complex,CYTOSOL|ENDOPLASMIC RETICULUM,2,14800; 18693
"Pick1-Pkca complex, TPA (tissue plasminogen activator) treated",CYTOSOL,2,18750; 18693
PIDDsome complex,CYTOSOL,3,12366; 12905; 57913
Pigr-Vps35-Vps26a-Vps29 complex,ENDOSOME,4,18703; 65114; 30930; 56433
Pik3r5-Pik3cg complex,UNCLASSIFIED,2,320207; 30955
Pik3r6-Pik3cg complex,UNCLASSIFIED,2,104709; 30955
PINK1-MIRO2-Milton complex,MITOCHONDRIA,3,214952; 68943; 67095
PIP complex,LARGE PROTEIN COMPLEX,3,16202; 110829; 57342
PIP5K1B-PI4K2A complex,ENDOSOME,2,18719; 84095
PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,4,11554; 19087; 238276; 19088
"PKC-alpha-PLD1-PLC-gamma-2 signaling complex, lacritin stimulated",UNKNOWN,3,234779; 18750; 18805
PKD2-FPC complex,ENDOPLASMIC RETICULUM|PEROXISOME|SECRETORY,2,241035; 18764
Pkd2-Fpc-Kif3b complex,CYTOSOL|ENDOPLASMIC RETICULUM|PEROXISOME|SECRETORY|UNKNOWN,3,18764; 16569; 241035
Pkd2-Pkhd1 complex,ENDOPLASMIC RETICULUM|PEROXISOME|SECRETORY,2,241035; 18764
PKP1-ZO-1 complex,ACTIN BINDING PROTEINS,2,21872; 18772
PLAUR-PLAU complex,SECRETORY,2,18792; 18793
"PLC-gamma-1-Lab-Blnk complex, BCR stimulated",ACTIN BINDING PROTEINS|CYTOSOL|PLASMA MEMBRANE|SECRETORY|UNKNOWN,3,18803; 56743; 17060
